,Category,Attribute,2024_Presidio,2024_San Francisco,2023_Presidio,2023_San Francisco,2022_Presidio,2022_San Francisco,2021_Presidio,2021_San Francisco,2020_Presidio,2020_San Francisco,2019_Presidio,2019_San Francisco,2018_Presidio,2018_San Francisco,2017_Presidio,2017_San Francisco,2016_Presidio,2016_San Francisco,2015_Presidio,2015_San Francisco,2014_Presidio,2014_San Francisco,2013_Presidio,2013_San Francisco,2012_Presidio,2012_San Francisco,2011_Presidio,2011_San Francisco,2010_Presidio,2010_San Francisco,2000_Presidio,2000_San Francisco
0,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,213,156904,201.0,158878.0,170.0,164391.0,430.0,177267.0,522.0,179637.0,730.0,194605.0,721.0,196852.0,715.0,201554.0,859.0,206125.0,936.0,208027.0,1141.0,219759.0,1098.0,217742.0,1092.0,213982.0,1117.0,212110.0,986.0,209068.0,750.0,209020.0
1,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,213,156904,201.0,158878.0,170.0,142404.0,430.0,155085.0,522.0,133315.0,730.0,146746.0,721.0,152803.0,715.0,131265.0,859.0,139452.0,936.0,146046.0,1141.0,103611.0,1098.0,106717.0,1092.0,108966.0,1117.0,114525.0,986.0,119019.0,288.0,147066.0
2,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,213,156904,201.0,158878.0,170.0,164391.0,430.0,177267.0,522.0,179637.0,730.0,194605.0,721.0,196852.0,715.0,201554.0,859.0,206125.0,936.0,195487.0,1141.0,219759.0,1098.0,217742.0,1092.0,213982.0,1117.0,212110.0,986.0,203005.0,750.0,193235.0
3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,213,156904,201.0,158878.0,170.0,164391.0,430.0,177267.0,522.0,179637.0,730.0,194605.0,721.0,196852.0,715.0,201554.0,859.0,206125.0,936.0,208027.0,1141.0,219759.0,1098.0,217742.0,1092.0,213982.0,1117.0,212110.0,986.0,209068.0,750.0,209020.0
4,Affordability,100 AMI Annual Income,206298.95324675328,140630.3486172417,206838.98322580644,140840.72978303747,210197.77631578947,136440.23367285798,206363.30361757107,126479.8932723461,151800.0,117453.07472291742,200890.24332344212,113537.43350844154,192428.57142857145,104995.55809378768,198127.7533039648,96817.47583985272,179536.67953667953,88612.28084661327,161615.04424778762,81982.65550239234,144801.9801980198,78773.52733781732,140697.67441860464,75789.09138932911,118624.1610738255,73882.86576506091,116124.2603550296,73015.850789739,122747.74774774777,71436.31988152536,71907.21649484536,55915.28958767848
5,Affordability,100 AMI Monthly Affordable Rent,17191.57943722944,11719.195718103474,17236.58193548387,11736.72748191979,17516.481359649122,11370.019472738166,17196.941968130923,10539.991106028841,12650.0,9787.756226909785,16740.853610286842,9461.452792370128,16035.714285714288,8749.629841148973,16510.646108663732,8068.122986654394,14961.389961389961,7384.356737217772,13467.920353982301,6831.887958532695,12066.831683168317,6564.460611484777,11724.806201550387,6315.7576157774265,9885.346756152125,6156.905480421742,9677.021696252466,6084.6542324782495,10228.978978978981,5953.02665679378,5992.268041237113,4659.607465639873
6,Affordability,30 AMI Annual Income,61889.68597402598,42189.10458517251,62051.69496774193,42252.21893491124,63059.332894736835,40932.0701018574,61908.99108527132,37943.96798170383,45540.0,35235.922416875226,60267.072997032636,34061.23005253246,57728.571428571435,31498.6674281363,59438.325991189435,29045.242751955815,53861.003861003854,26583.68425398398,48484.513274336285,24594.7966507177,43440.594059405936,23632.058201345193,42209.30232558139,22736.727416798734,35587.24832214765,22164.859729518274,34837.27810650888,21904.755236921697,36824.32432432433,21430.895964457606,21572.164948453606,16774.586876303543
7,Affordability,30 AMI Monthly Affordable Rent,5157.473831168832,3515.758715431042,5170.974580645161,3521.0182445759365,5254.944407894736,3411.00584182145,5159.082590439277,3161.9973318086522,3795.0,2936.3268680729357,5022.256083086053,2838.4358377110384,4810.714285714286,2624.888952344692,4953.19383259912,2420.436895996318,4488.416988416988,2215.3070211653317,4040.3761061946902,2049.5663875598084,3620.049504950495,1969.3381834454328,3517.441860465116,1894.7272847332279,2965.6040268456377,1847.0716441265229,2903.10650887574,1825.3962697434747,3068.693693693694,1785.9079970381338,1797.6804123711338,1397.882239691962
8,Affordability,50 AMI Annual Income,103149.47662337664,70315.17430862084,103419.49161290322,70420.36489151874,105098.88815789473,68220.11683642899,103181.65180878554,63239.94663617305,75900.0,58726.53736145871,100445.12166172106,56768.71675422077,96214.28571428572,52497.77904689384,99063.8766519824,48408.73791992636,89768.33976833976,44306.140423306635,80807.52212389381,40991.32775119617,72400.9900990099,39386.76366890866,70348.83720930232,37894.54569466456,59312.08053691275,36941.432882530455,58062.1301775148,36507.9253948695,61373.87387387388,35718.15994076268,35953.60824742268,27957.64479383924
9,Affordability,50 AMI Monthly Affordable Rent,8595.78971861472,5859.597859051737,8618.290967741936,5868.363740959895,8758.240679824561,5685.009736369083,8598.470984065461,5269.995553014421,6325.0,4893.878113454893,8370.426805143421,4730.726396185064,8017.857142857144,4374.814920574487,8255.323054331866,4034.061493327197,7480.694980694981,3692.178368608886,6733.960176991151,3415.9439792663475,6033.415841584158,3282.2303057423883,5862.403100775194,3157.8788078887133,4942.673378076062,3078.452740210871,4838.510848126233,3042.3271162391247,5114.489489489491,2976.51332839689,2996.1340206185564,2329.8037328199366
