,Category,Attribute,2024_Golden Gate Park,2024_San Francisco,2023_Golden Gate Park,2023_San Francisco,2022_Golden Gate Park,2022_San Francisco,2021_Golden Gate Park,2021_San Francisco,2020_Golden Gate Park,2020_San Francisco,2019_Golden Gate Park,2019_San Francisco,2018_Golden Gate Park,2018_San Francisco,2017_Golden Gate Park,2017_San Francisco,2016_Golden Gate Park,2016_San Francisco,2015_Golden Gate Park,2015_San Francisco,2014_Golden Gate Park,2014_San Francisco,2013_Golden Gate Park,2013_San Francisco,2012_Golden Gate Park,2012_San Francisco,2011_Golden Gate Park,2011_San Francisco,2010_Golden Gate Park,2010_San Francisco,2000_Golden Gate Park,2000_San Francisco
0,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,0,156904,0.0,158878.0,0.0,164391.0,0.0,177267.0,0.0,179637.0,0.0,194605.0,0.0,196852.0,0.0,201554.0,0.0,206125.0,0.0,208027.0,0.0,219759.0,0.0,217742.0,0.0,213982.0,0.0,212110.0,0.0,209068.0,33.0,209020.0
1,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,0,156904,0.0,158878.0,0.0,142404.0,0.0,155085.0,0.0,133315.0,0.0,146746.0,0.0,152803.0,0.0,131265.0,0.0,139452.0,0.0,146046.0,0.0,103611.0,0.0,106717.0,0.0,108966.0,0.0,114525.0,0.0,119019.0,0.0,147066.0
2,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,0,156904,0.0,158878.0,0.0,164391.0,0.0,177267.0,0.0,179637.0,0.0,194605.0,0.0,196852.0,0.0,201554.0,0.0,206125.0,0.0,195487.0,0.0,219759.0,0.0,217742.0,0.0,213982.0,0.0,212110.0,0.0,203005.0,6.0,193235.0
3,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,0,156904,0.0,158878.0,0.0,164391.0,0.0,177267.0,0.0,179637.0,0.0,194605.0,0.0,196852.0,0.0,201554.0,0.0,206125.0,0.0,208027.0,0.0,219759.0,0.0,217742.0,0.0,213982.0,0.0,212110.0,0.0,209068.0,33.0,209020.0
4,Affordability,100 AMI Annual Income,0.0,140630.3486172417,0.0,140840.72978303747,0.0,136440.23367285798,0.0,126479.8932723461,0.0,117453.07472291742,0.0,113537.43350844154,0.0,104995.55809378768,0.0,96817.47583985272,0.0,88612.28084661327,0.0,81982.65550239234,0.0,78773.52733781732,0.0,75789.09138932911,0.0,73882.86576506091,0.0,73015.850789739,0.0,71436.31988152536,21590.90909090909,55915.28958767848
5,Affordability,100 AMI Monthly Affordable Rent,0.0,11719.195718103474,0.0,11736.72748191979,0.0,11370.019472738166,0.0,10539.991106028841,0.0,9787.756226909785,0.0,9461.452792370128,0.0,8749.629841148973,0.0,8068.122986654394,0.0,7384.356737217772,0.0,6831.887958532695,0.0,6564.460611484777,0.0,6315.7576157774265,0.0,6156.905480421742,0.0,6084.6542324782495,0.0,5953.02665679378,1799.242424242424,4659.607465639873
6,Affordability,30 AMI Annual Income,0.0,42189.10458517251,0.0,42252.21893491124,0.0,40932.0701018574,0.0,37943.96798170383,0.0,35235.922416875226,0.0,34061.23005253246,0.0,31498.6674281363,0.0,29045.242751955815,0.0,26583.68425398398,0.0,24594.7966507177,0.0,23632.058201345193,0.0,22736.727416798734,0.0,22164.859729518274,0.0,21904.755236921697,0.0,21430.895964457606,6477.272727272726,16774.586876303543
7,Affordability,30 AMI Monthly Affordable Rent,0.0,3515.758715431042,0.0,3521.0182445759365,0.0,3411.00584182145,0.0,3161.9973318086522,0.0,2936.3268680729357,0.0,2838.4358377110384,0.0,2624.888952344692,0.0,2420.436895996318,0.0,2215.3070211653317,0.0,2049.5663875598084,0.0,1969.3381834454328,0.0,1894.7272847332279,0.0,1847.0716441265229,0.0,1825.3962697434747,0.0,1785.9079970381338,539.7727272727271,1397.882239691962
8,Affordability,50 AMI Annual Income,0.0,70315.17430862084,0.0,70420.36489151874,0.0,68220.11683642899,0.0,63239.94663617305,0.0,58726.53736145871,0.0,56768.71675422077,0.0,52497.77904689384,0.0,48408.73791992636,0.0,44306.140423306635,0.0,40991.32775119617,0.0,39386.76366890866,0.0,37894.54569466456,0.0,36941.432882530455,0.0,36507.9253948695,0.0,35718.15994076268,10795.454545454544,27957.64479383924
9,Affordability,50 AMI Monthly Affordable Rent,0.0,5859.597859051737,0.0,5868.363740959895,0.0,5685.009736369083,0.0,5269.995553014421,0.0,4893.878113454893,0.0,4730.726396185064,0.0,4374.814920574487,0.0,4034.061493327197,0.0,3692.178368608886,0.0,3415.9439792663475,0.0,3282.2303057423883,0.0,3157.8788078887133,0.0,3078.452740210871,0.0,3042.3271162391247,0.0,2976.51332839689,899.621212121212,2329.8037328199366
