,Category,Attribute,2000_Presidio,2010_Presidio,2011_Presidio,2012_Presidio,2013_Presidio,2014_Presidio,2015_Presidio,2016_Presidio,2017_Presidio,2018_Presidio,2019_Presidio,2020_Presidio,2021_Presidio,2022_Presidio,2023_Presidio,2024_Presidio
11,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,750.0,986.0,1117.0,1092.0,1098.0,1141.0,936.0,859.0,715.0,721.0,730.0,635.0,430.0,170.0,201.0,213
2,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,288.0,986.0,1117.0,1092.0,1098.0,1141.0,936.0,859.0,715.0,721.0,730.0,635.0,430.0,170.0,201.0,213
5,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,750.0,986.0,1117.0,1092.0,1098.0,1141.0,936.0,859.0,715.0,721.0,730.0,635.0,430.0,170.0,201.0,213
8,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,750.0,986.0,1117.0,1092.0,1098.0,1141.0,936.0,859.0,715.0,721.0,730.0,635.0,430.0,170.0,201.0,213
9,Affordability,100 AMI Annual Income,71907.21649484536,122747.74774774777,116124.2603550296,118624.1610738255,140697.67441860464,144801.9801980198,161615.04424778762,179536.67953667953,198127.7533039648,192428.57142857145,200890.24332344212,198295.45454545453,206363.30361757107,210197.77631578947,206838.98322580644,206298.95324675328
10,Affordability,100 AMI Monthly Affordable Rent,5992.268041237113,10228.978978978981,9677.021696252466,9885.346756152125,11724.806201550387,12066.831683168317,13467.920353982301,14961.389961389961,16510.646108663732,16035.714285714288,16740.853610286842,16524.621212121212,17196.941968130923,17516.481359649122,17236.58193548387,17191.57943722944
0,Affordability,30 AMI Annual Income,21572.164948453606,36824.32432432433,34837.27810650888,35587.24832214765,42209.30232558139,43440.594059405936,48484.513274336285,53861.003861003854,59438.325991189435,57728.571428571435,60267.072997032636,59488.63636363635,61908.99108527132,63059.332894736835,62051.69496774193,61889.68597402598
1,Affordability,30 AMI Monthly Affordable Rent,1797.6804123711338,3068.693693693694,2903.10650887574,2965.6040268456377,3517.441860465116,3620.049504950495,4040.3761061946902,4488.416988416988,4953.19383259912,4810.714285714286,5022.256083086053,4957.386363636363,5159.082590439277,5254.944407894736,5170.974580645161,5157.473831168832
3,Affordability,50 AMI Annual Income,35953.60824742268,61373.87387387388,58062.1301775148,59312.08053691275,70348.83720930232,72400.9900990099,80807.52212389381,89768.33976833976,99063.8766519824,96214.28571428572,100445.12166172106,99147.72727272726,103181.65180878554,105098.88815789473,103419.49161290322,103149.47662337664
4,Affordability,50 AMI Monthly Affordable Rent,2996.1340206185564,5114.489489489491,4838.510848126233,4942.673378076062,5862.403100775194,6033.415841584158,6733.960176991151,7480.694980694981,8255.323054331866,8017.857142857144,8370.426805143421,8262.310606060606,8598.470984065461,8758.240679824561,8618.290967741936,8595.78971861472
